gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,total_score,average_score,target
1,0,3,0,38,96,93,93,90,87,87,90,639,91.38664740475889,1
1,0,3,0,29,95,77,93,85,47,69,74,542,77.46472572072187,11
1,0,1,0,16,71,99,98,95,91,95,95,648,92.57663480732901,10
1,1,0,0,13,66,90,83,80,76,90,91,576,82.28571428571429,6
1,0,3,0,21,68,77,82,92,92,90,71,574,82.07188454759348,10
0,0,3,0,35,85,90,96,95,95,88,90,639,91.28571428571429,13
0,1,5,0,25,81,88,85,90,93,62,96,595,85.0,15
0,0,3,0,16,85,64,80,68,83,64,85,533,76.14811926044449,12
0,0,1,0,43,92,90,93,88,92,94,100,650,92.94516022624354,1
0,0,0,0,4,72,98,78,77,70,61,65,524,74.99805291852732,3
1,0,5,0,26,68,100,94,69,93,64,93,581,83.0,4
1,0,3,0,19,89,76,81,87,40,91,73,541,77.30768682417896,11
0,0,1,0,3,87,62,87,96,85,90,74,581,83.0,12
0,0,3,0,3,73,73,79,76,81,85,70,540,77.1979955139862,3
0,0,2,0,7,86,85,73,87,97,71,84,588,84.0,2
1,0,2,0,13,60,75,70,96,63,82,80,526,75.14285714285714,4
0,0,7,0,2,98,65,53,64,52,96,62,490,70.0,7
0,0,0,0,7,67,94,62,65,69,64,65,489,69.99418328265679,16
0,0,1,0,29,79,69,78,78,99,61,87,551,78.71428571428571,12
1,0,1,0,33,87,84,91,88,85,97,100,634,90.70728281139299,8
0,0,2,0,32,78,86,98,86,81,65,93,590,84.32927134452667,8
0,0,4,0,41,94,94,94,89,85,86,85,627,89.57142857142857,1
1,0,4,0,35,92,93,90,95,98,88,88,647,92.53890973451682,8
0,0,1,0,34,84,91,98,92,91,85,91,635,90.72765879354073,8
0,0,1,0,22,84,96,69,76,90,93,76,587,83.94496890924374,10
0,0,3,0,26,84,74,74,66,71,97,64,533,76.25690916586275,4
0,1,3,1,15,85,96,82,64,82,94,81,584,83.42857142857143,13
1,0,3,0,18,85,95,77,71,75,95,94,592,84.57142857142857,9
1,0,1,0,25,77,97,83,100,97,92,93,640,91.54683365670066,10
0,0,2,0,31,100,96,67,63,91,96,84,597,85.28571428571429,0
0,0,2,0,27,91,87,85,85,72,79,81,583,83.31787262864107,11
0,0,5,0,31,86,76,93,83,93,83,82,599,85.60581933854452,8
0,0,3,0,16,92,69,79,84,85,77,75,564,80.6473331483173,11
0,0,3,0,26,88,92,74,75,90,88,88,599,85.62524132852545,12
0,0,4,0,12,85,63,84,66,97,96,85,579,82.71428571428571,11
1,0,9,0,5,85,64,99,93,89,61,67,558,79.71428571428571,7
0,0,2,0,25,94,76,95,64,69,82,86,569,81.36817682503433,11
0,0,2,0,23,95,79,85,96,91,83,87,618,88.31433644130269,1
0,0,6,1,21,88,62,94,81,69,76,87,559,79.89172309515494,15
